Data supplied by UK-AIR on 11/2/2025
All Data GMT hour ending  
Rows begining ## are Provisional
London Bloomsbury PM<sub>2.5</sub> particulate matter (Hourly measured) ug/m-3
   Date   , 01:00, 02:00, 03:00, 04:00, 05:00, 06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00, 24:00
01-01-2024,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
02-01-2024,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      , 6.368, 2.311, 1.439, 2.170, 3.349, 4.835, 6.604, 7.005, 7.146, 6.486
03-01-2024, 6.061, 7.594, 8.561, 6.958, 5.401, 4.434, 4.481, 6.392, 8.868,10.495, 8.962, 7.500, 4.222, 4.434, 3.632, 3.656, 4.175, 5.731, 6.274, 4.764, 5.873, 4.859, 4.057, 4.859
04-01-2024, 3.986, 2.830, 2.241, 2.594, 3.679, 4.717, 5.566, 5.873, 6.132, 6.722, 7.335,10.731, 8.939, 9.976, 9.953, 9.576, 6.557, 5.613, 4.363, 3.750, 4.363, 4.575, 3.090, 1.722
05-01-2024, 0.967, 0.873, 0.943, 1.226, 3.208,10.000, 8.962, 8.915, 9.929, 8.844, 8.396, 8.184, 7.500, 8.090, 7.241, 6.769, 6.934, 6.250, 8.090, 7.500, 7.429, 5.967, 6.533, 9.175
06-01-2024, 7.594, 6.439, 8.160, 6.887, 5.189, 4.764, 4.623, 4.222, 4.009, 4.340, 4.080, 3.231, 2.948, 4.269, 3.962, 4.316, 3.939, 5.000, 6.910, 7.877, 8.491, 7.594, 5.354, 3.726
07-01-2024, 4.009, 4.104, 3.868, 3.090, 3.231, 2.830, 2.759, 2.877, 2.901, 2.759, 3.184, 3.939, 4.599, 4.976, 4.976, 5.354, 5.590, 6.297, 6.745, 8.042, 8.090, 7.642, 7.099, 5.259
08-01-2024, 3.538, 3.090, 3.491, 3.632, 3.443, 3.113, 2.972, 3.137, 3.396, 4.009, 4.882, 5.330, 5.259, 6.274, 5.189, 4.717, 5.142, 5.896, 6.132, 7.052, 7.995, 7.925, 8.184, 8.491
09-01-2024, 8.491, 8.113, 7.948, 7.783, 7.642, 7.571, 7.571, 7.925, 7.901, 7.618, 7.759, 9.057, 7.359, 7.759, 7.665, 7.217, 6.769, 6.368, 6.509, 7.382, 8.019, 7.288, 6.486, 6.038
10-01-2024, 5.542, 5.165, 4.693, 4.693, 4.906, 5.118, 5.142, 5.283, 5.967, 6.745, 5.425, 7.594, 5.920, 5.826, 4.953, 7.217, 5.472, 6.368, 6.816, 6.863, 7.099, 7.264, 7.877, 8.231
11-01-2024, 9.387, 9.080, 8.679,11.109,10.094, 9.764, 9.175, 7.453, 7.665, 8.538, 8.726, 6.533, 5.731, 5.826, 5.094, 6.745, 6.981,10.236,11.439,10.495, 7.948, 6.368, 6.203, 5.967
12-01-2024, 5.495, 6.321, 7.594, 8.467, 8.632, 8.396, 7.665, 6.816, 6.368, 5.590, 5.542, 4.198, 4.340, 4.741, 5.071, 4.481, 5.425, 6.722, 7.170, 7.854, 8.302, 8.420, 9.057,12.429
13-01-2024,15.613,14.410,14.363,12.925,13.585,15.495,15.566,19.977,18.915,19.269,17.901,15.448,15.189,13.019,11.439,11.745,10.519,12.877,13.797,14.882,17.028,16.840,16.745,17.429
14-01-2024,15.212,17.288,17.995,16.793,15.826,17.146,18.326,17.123,15.660,13.019,13.703,11.297,11.745, 4.811, 4.127, 3.491, 4.552, 4.222, 4.575, 4.717, 5.873, 5.826, 6.816, 5.613
15-01-2024, 4.316, 4.269, 4.646, 4.552, 3.939, 3.821, 3.090, 2.995, 3.396, 4.104, 3.868, 4.009, 3.774, 3.915, 3.514, 3.443, 3.962, 5.755, 6.792, 7.901, 9.198,10.472,11.038,11.675
16-01-2024,10.519,12.123,11.840,11.863,11.793,11.038, 9.882, 9.434, 9.198, 9.623, 8.679, 7.524,10.259, 9.340,10.943,12.288, 9.599, 9.410,10.991, 9.528, 9.764, 8.231, 6.274, 4.222
17-01-2024, 5.071, 6.934, 7.547, 5.613, 5.118, 6.816,12.028,13.774,16.627,19.576,17.359,12.264,12.665,13.750,14.859,15.401,10.991,10.189, 8.561, 9.646,11.061, 8.986, 8.137, 7.193
18-01-2024, 6.840, 6.392, 5.896, 6.038, 6.132, 6.745, 6.392, 6.840, 7.123, 8.986,11.722,13.750,10.000, 8.679, 8.726, 7.925, 8.774, 9.576,11.109,14.363,14.080,12.783,12.382,11.533
19-01-2024,11.250,11.580,11.392,10.448,10.212, 9.104, 8.019, 7.877, 7.830, 8.892, 9.552,12.618,13.373,10.543, 7.359, 6.863, 7.241,11.934,13.278,15.472,17.524,14.953,12.288, 9.788
20-01-2024, 6.698, 4.929, 4.175, 4.340, 4.292, 4.953, 5.637, 6.132, 6.085, 6.627, 6.792, 6.675, 6.887, 6.840, 8.255, 8.750, 8.632, 9.741, 8.514,10.425,11.297, 9.127, 6.580, 6.061
21-01-2024, 6.462, 7.005, 9.646,10.283, 7.736, 7.524, 6.675, 4.222, 5.896,10.236,12.665,13.609,13.373,13.868,13.986,12.877,11.675,10.708,10.071, 9.033, 8.302, 7.571, 6.274, 3.090
22-01-2024, 1.840, 1.132, 4.127, 9.670,10.425, 6.226, 8.892,11.014,11.509,10.000, 9.976, 8.538, 7.901, 5.873, 6.179, 6.085, 6.179, 6.958, 7.618, 9.976, 8.679, 8.892, 8.561, 7.311
23-01-2024, 7.288, 7.854, 8.420, 9.127, 9.316, 9.009, 9.717,11.014,11.722,11.085, 8.656, 8.396, 6.557, 3.278, 2.877, 2.241, 1.509, 1.580, 2.028, 2.193, 1.863, 1.462, 1.274, 1.627
24-01-2024, 5.425,10.283,13.585,15.094,16.392,16.250,16.109,17.005,16.793,16.910,16.887,15.354,13.538,12.524,11.368,11.439,11.580,11.627,12.311,13.986,14.976,15.991,15.307,14.269
