Station,PM2.5,Timestamp
Aldgate East,4.0,
Baker Street,8.0,
Bank,4.0,
Canada Water,4.0,
Colliers Wood,4.0,
Cutty Sark,4.0,
"Elephant & 
Castle",7.0,
Embankment,6.0,
Euston Square,5.0,
Hampstead,4.0,
"Highbury & 
Islington",4.0,
Holborn,6.0,
Kennington,6.0,
King’s Cross,11.0,
London Bridge,6.0,
Mile End,6.0,
Moorgate,6.0,
Oxford Circus,8.0,
Paddington,6.0,
"Piccadilly 
Circus",6.0,
Tooting Bec,4.0,
"Tottenham 
Court Road",6.0,
Vauxhall,4.0,
Waterloo,8.0,
Westminster,6.0,
Aluminium metal / Aluminium oxides,10.0,
"Arsenic and arsenic compounds 
except arsine (as As)",0.1,
Chromium,0.5,
Copper and compounds: dust and mists (as Cu),1.0,
"Iron Oxide, fume (as Fe)",5.0,
Manganese and its inorganic compounds (as Mn),0.2,
"Nickel and its inorganic compounds (except nickel 
tetracarbonyl):nickel and water-insoluble nickel 
compounds (as Ni)",0.5,
Outside Station Supervisor office,0.23,
"Platform 1 - Westbound, District / 
Hammersmith & City line",0.37,
"Platform 2 - Eastbound, District / 
Hammersmith & City line",0.37,
Ticket Hall / Gate Line – West,0.27,
Outside Station Supervisor office,0.18,
"Platform 5 - Eastbound, Circle / 
Hammersmith & City line",0.33,
"Platform 6 - Westbound, Circle / 
Hammersmith & City line",0.37,
"Platform 7 - Southbound, Jubilee line",0.89,
"Platform 8 - Southbound, Bakerloo line",1.2,
"Platform 9 - Northbound, Bakerloo line",1.08,
"Platform 10 - Northbound, Jubilee line",0.71,
"Ticket Hall / Gate Line - Circle / 
Hammersmith & City / Metropolitan line",0.23,
"Platform 4 - Northbound, Northern line",0.42,
"Platform 5 - Westbound, Central line",0.74,
"Platform 9 - Eastbound, DLR",0.75,
"Platform 10 - Eastbound, DLR",0.51,
Outside Station Supervisor office,0.21,
"Platform 1 - Westbound, Jubilee line",0.6,
"Platform 2 - Eastbound, Jubilee line",0.39,
Ticket Hall / Gate Line,0.2,
Outside Station Supervisor office,0.4,
"Platform 1 - Northbound, Northern line",0.82,
"Platform 2 - Southbound, Northern line",0.95,
Ticket Hall / Gate Line,0.29,
Outside Station Supervisor office,0.2,
"Platform 1 - Southbound, DLR",0.25,
"Platform 2 - Northbound, DLR",0.29,
Ticket Hall / Gate Line,0.17,
Outside Station Supervisor office,0.05,
"Platform 1 - Northbound, Northern line",0.61,
"Platform 2 - Southbound, Northern line",0.32,
"Platform 3 - Northbound, Bakerloo line",0.28,
"Platform 4 - Northbound, Bakerloo line",0.44,
Ticket Hall / Gate Line - Bakerloo line,0.05,
Ticket Hall / Gate Line - Northern line,0.2,
Outside Station Supervisor office,0.49,
"Platform 3 - Northbound, Northern line",1.33,
"Platform 4 - Southbound, Northern line",1.53,
"Platform 5 - Northbound, Bakerloo line",1.4,
"Platform 6 - Southbound, Bakerloo line",1.16,
Ticket Hall / Gate Line,0.5,
Outside Station Supervisor office,0.14,
"Platform 1 - Westbound, Circle / 
Hammersmith & City / Metropolitan line",0.41,
"Platform 2 - Eastbound, Circle / 
Hammersmith & City / Metropolitan line",0.43,
Ticket Hall / Gate Line - North side,0.18,
Ticket Hall / Gate Line - South side,0.19,
"Platform 1 - Northbound, Northern line",0.91,
"Platform 2 - Southbound, Northern line",1.14,
Ticket Hall / Gate Line,0.04,
"Platform 3 - Northbound, Victoria line",0.6,
"Platform 5 - Southbound, Victoria line",0.91,
Ticket Hall / Gate Line,0.1,
Outside Station Supervisor office,0.08,
"Platform 1 - Westbound, Central line",0.79,
"Platform 2 - Eastbound, Central line",0.97,
"Platform 3 - Westbound, Piccadilly line",1.45,
"Platform 4 - Eastbound, Piccadilly line",1.15,
Ticket Hall / Gate Line,0.12,
Outside Station Supervisor office,0.3,
"Platform 1 - Northbound, Northern line",0.79,
"Platform 2 - Southbound, Northern line",1.02,
"Platform 3 - Northbound, Northern line",0.74,
"Platform 4 - Southbound, Northern line",0.77,
Ticket Hall / Gate Line,0.23,
Outside Station Supervisor office,0.06,
"Platform 1 - Westbound, Circle / 
Hammersmith & City / Metropolitan line",0.26,
"Platform 2 - Eastbound, Circle / 
Hammersmith & City / Metropolitan line",0.3,
"Platform 3 - Northbound, Victoria line",0.83,
"Platform 4 - Southbound, Victoria line",1.18,
"Platform 5 - Westbound, Piccadilly line",1.11,
"Platform 6 - Eastbound, Piccadilly line",0.74,
"Platform 7 - Northbound, Northern line",0.69,
"Platform 8 - Southbound, Northern line",0.91,
Ticket Hall / Gate Line,0.02,
"Ticket Hall / Gate Line - Circle / 
Hammersmith & City / Metropolitan line",0.09,
Outside Station Supervisor office,0.57,
"Platform 1 - Northbound, Northern line",0.84,
"Platform 2 - Southbound, Northern line",0.92,
"Platform 3 - Westbound, Jubilee line",1.15,
"Platform 4 - Eastbound, Jubilee line",0.56,
Ticket Hall / Gate Line,0.6,
Outside Station Supervisor office,0.21,
"Platform 1 - Westbound, Central line",0.56,
"Platform 2 - Westbound, District / 
Hammersmith & City line",0.45,
"Platform 3 - Eastbound, District / 
Hammersmith & City line",0.63,
"Platform 4 - Eastbound, Central line",0.71,
Ticket Hall / Gate Line,0.23,
Outside Station Supervisor office,0.27,
"Platform 1 - Eastbound, Circle / 
Hammersmith & City / Metropolitan line",0.57,
"Platform 2 - Westbound, Circle / 
Hammersmith & City / Metropolitan line",0.2,
"Platform 7 - Northbound, Northern line",0.17,
"Platform 8 - Southbound, Northern line",0.61,
Ticket Hall / Gate Line,0.07,
Outside Station Supervisor office,0.03,
"Platform 1 - Westbound, Central line",0.89,
"Platform 2 - Eastbound, Central line",0.63,
"Platform 3 - Southbound, Bakerloo line",0.86,
"Platform 4 - Northbound, Bakerloo line",0.67,
"Platform 5 - Southbound, Victoria line",0.68,
"Platform 6 - Northbound, Victoria line",1.06,
Ticket Hall / Gate Line,0.11,
Outside Station Supervisor office,0.05,
"Platform 1 - Westbound, District / Circle 
line",0.07,
"Platform 2 - Eastbound, District / Circle line",0.08,
"Platform 3 - Northbound, Bakerloo line",1.09,
"Platform 4 - Southbound, Bakerloo line",0.95,
Ticket Hall / Gate Line - Bakerloo Line,0.48,
Outside Station Supervisor office,0.03,
"Platform 1 - Northbound, Bakerloo line",0.81,
"Platform 2 - Southbound, Bakerloo line",0.87,
"Platform 3 - Eastbound, Piccadilly line",0.87,
"Platform 4 - Westbound, Piccadilly line",0.83,
Ticket Hall / Gate Line,0.02,
Outside Station Supervisor office,0.5,
"Platform 1 - Northbound, Northern line",0.75,
"Platform 2 - Southbound, Northern line",0.91,
Ticket Hall / Gate Line,0.35,
Outside Station Supervisor office,0.05,
"Platform 1 - Westbound, Central line",0.66,
"Platform 2 - Eastbound, Central line",0.95,
"Platform 3 - Northbound, Northern line",0.81,
"Platform 4 - Southbound, Northern line",0.77,
Ticket Hall / Gate Line,0.45,
Outside Station Supervisor office,0.26,
"Platform 1 - Northbound, Victoria line",0.89,
"Platform 2 - Southbound, Victoria line",1.62,
Ticket Hall / Gate Line,0.15,
Outside Station Supervisor office,0.54,
"Platform 1 - Northbound, Northern line",1.02,
"Platform 2 - Southbound, Northern line",1.35,
"Platform 3 - Northbound, Bakerloo line",0.99,
"Platform 4 - Southbound, Bakerloo line",1.05,
"Platform 5 - Westbound, Jubilee line",0.46,
"Platform 6 - Eastbound, Jubilee line",0.28,
Ticket Hall / Gate Line,0.44,
Outside Station Supervisor office,0.04,
"Platform 1 - Westbound, District / Circle 
line",0.43,
"Platform 2 - Eastbound, District / Circle line",0.48,
"Platform 3 - Eastbound, Jubilee line",0.49,
"Platform 4 - Westbound, Jubilee line",0.23,
Ticket Hall / Gate Line,0.11,
"Aldgate East - Platform 2 
Eastbound, District / 
Hammersmith & City line",494.0,
"Baker Street - Platform 7 
Southbound, Jubilee line",486.0,
"Bank - Platform 4 
Northbound, Northern line",480.0,
"Bank - Platform 9 
Eastbound, DLR",490.0,
"Canada Water - Platform 2 
Eastbound, Jubilee line",496.0,
"Colliers Wood - Platform 2 
Southbound, Northern line",516.0,
"Cutty Sark - Platform 1 
Southbound, DLR",482.0,
"Elephant & Castle - Platform 3 
Northbound, Bakerloo line",484.0,
"Embankment - Platform 6 
Southbound, Bakerloo line",420.0,
"Euston Square - Platform 2 
Eastbound, Circle / Hammersmith 
& City / Metropolitan line",514.0,
"Hampstead - Platform 1 
Northbound, Northern line",484.0,
"Highbury & Islington - Platform 5 
Southbound, Victoria line",490.0,
"Holborn - Platform 3 
Westbound, Piccadilly line",480.0,
"Kennington - Platform 4 
Southbound, Northern line",504.0,
"King's Cross - Platform 7 
Northbound, Northern line",482.0,
"London Bridge - Platform 4 
Eastbound, Jubilee line",488.0,
"Mile End - Platform 4 
Eastbound, Central line",518.0,
"Moorgate - Platform 8 
Southbound, Northern line",490.0,
"Oxford Circus - Platform 1 
Westbound, Central line",502.0,
"Paddington - Platform 3 
Northbound, Bakerloo line",492.0,
"Piccadilly Circus - Platform 3 
Eastbound, Piccadilly line",496.0,
"Tooting Bec - Platform 2 
Southbound, Northern line",480.0,
"Tottenham Court Road - Platform 3 
Northbound, Northern line",416.0,
"Vauxhall - Platform 1 
Northbound, Victoria line",504.0,
"Waterloo - Platform 6 
Eastbound, Jubilee line",486.0,
"Westminster - Platform 3 
Eastbound, Jubilee line",520.0,
"Vauxhall – Platform 1 
Northbound Victoria line",1.23,
"Vauxhall – Platform 2 
Southbound Victoria line",1.09,
"Hampstead – Platform 1 
Northbound Northern line",1.07,
"Highbury & Islington – Platform 3 
Northbound Victoria line",1.06,
"Bank – Platform 4 
Northbound Northern line",1.03,
"Tottenham Court Road – Platform 2 
Eastbound Central line",1.01,
"Oxford Circus – Platform 5 
Southbound Victoria line",0.99,
"Tottenham Court Road – Platform 1 
Westbound Central line",0.99,
"Oxford Circus – Platform 3 
Southbound Bakerloo line",0.96,
"Tooting Bec – Platform 2 
Southbound Northern line",0.95,
Aldgate East,4.0,
