,Time_Range,Raw_Data,Station,PM2.5,Latitude,Longitude,Lines
0,2020-02,monitoring programme. The highest increase on platforms was noted at Vauxhall station (0.62 ,monitoring programme,0.62,,,
1,2020-02,recorded at Vauxhall station (0.48 mg/m3). It should be noted that two stations: King’s Cross ,recorded at vauxhall station,0.48,,,
2,2020-02,1.2  The works comprised of undertaking respirable static air samples on platforms and gate ,the works comprised of undertaking respirable static air samples on platforms and gate,1.2,,,
3,2020-02,3.2  Sampling pumps equipped with respirable dust cyclone heads were worn by Station ,sampling pumps equipped with respirable dust cyclone heads were worn by station,3.2,,,
4,2020-02,"3.3  On stations where there would be limited or no duties on the platforms, static sampling ",on stations where there would be limited or no duties on the platforms,3.3,,,
5,2020-02,3.4  Respirable airborne dust monitoring was carried out at each of the stations for one shift.  ,respirable airborne dust monitoring was carried out at each of the stations for one shift,3.4,,,
6,2020-02,5.1  Station Staff ,station staff,5.1,,,
7,2020-02,5.1.1.  The dust levels in stations are known to be highest on the station platforms and ,the dust levels in stations are known to be highest on the station platforms and,5.1,,,
8,2020-02,5.1.3.  The result of personal sampling at Piccadilly Circus station was obtained from ,the result of personal sampling at piccadilly circus station was obtained from,5.1,,,
9,2020-02,5.1.4.  There was no personal dust exposure data achieved for station staff member at ,there was no personal dust exposure data achieved for station staff member at,5.1,,,
10,2020-02,during CSA duties at Hampstead station (0.04 mg/m3) and King’s Cross station ,during csa duties at hampstead station,0.04,,,
11,2020-02,station at 1.03 mg/m3. ,station at,1.03,,,
12,2020-02,5.2  Stations  ,stations,5.2,,,
13,2020-02,5.2.1  Waterloo Station ,waterloo station,5.2,,,
14,2020-02,"between 0.20 to 1.35 mg/m3, with highest concentration logged for N/B platform of ",between,0.20,,,
15,2020-02,5.2.2  Aldgate East Station ,aldgate east station,5.2,,,
16,2020-02,5.2.3  Baker Street Station ,baker street station,5.2,,,
17,2020-02,5.2.4  Elephant and Castle Station ,elephant and castle station,5.2,,,
18,2020-02,5.2.5  Euston Square Station ,euston square station,5.2,,,
19,2020-02,5.2.6  Hampstead Station ,hampstead station,5.2,,,
20,2020-02,5.2.7  King’s Cross Station ,king,5.2,,,
21,2020-02,5.2.8  Oxford Circus Station ,oxford circus station,5.2,,,
22,2020-02,5.2.9  Paddington Station ,paddington station,5.2,,,
23,2020-02,static samples at the platforms and gate lines were between 0.02 and 1.44 mg/m3. The ,static samples at the platforms and gate lines were between,0.02,,,
24,2020-02,5.2.10 Piccadilly Circus Station ,piccadilly circus station,5.2,,,
25,2020-02,5.2.11 Tottenham Court Road Station ,tottenham court road station,5.2,,,
26,2020-02,5.2.12 Vauxhall Station ,vauxhall station,5.2,,,
27,2020-02,decrease in dust levels for station staff at Hampstead and King’s Cross stations (0.31 ,decrease in dust levels for station staff at hampstead and king,0.31,,,
28,2020-02,"6.2  All of the static samples taken at specifically selected stations, platforms and gate lines, ",all of the static samples taken at specifically selected stations,6.2,,,
29,2020-02,"at Tottenham Court Road station (1.96 mg/m3). However, the highest increase (0.62 ",at tottenham court road station,1.96,,,
