Station,PM2.5,Timestamp,Latitude,Longitude,Lines
Aldgate East,4.0,2024-05 to 2024-09,51.51508,-0.073,"District, Hammersmith & City"
Baker Street,8.0,2024-05 to 2024-09,51.52313,-0.1569,"Bakerloo, Circle, Hammersmith & City, Jubilee, Metropolitan"
Bank,4.0,2024-05 to 2024-09,51.51335,-0.089,"Central, Northern, Waterloo & City"
Canada Water,4.0,2024-05 to 2024-09,,,
Colliers Wood,4.0,2024-05 to 2024-09,,,
Cutty Sark,4.0,2024-05 to 2024-09,,,
"Elephant & 
Castle",7.0,2024-05 to 2024-09,,,
Embankment,6.0,2024-05 to 2024-09,,,
Euston Square,5.0,2024-05 to 2024-09,,,
Hampstead,4.0,2024-05 to 2024-09,,,
"Highbury & 
Islington",4.0,2024-05 to 2024-09,,,
Holborn,6.0,2024-05 to 2024-09,,,
Kennington,6.0,2024-05 to 2024-09,,,
King’s Cross,11.0,2024-05 to 2024-09,,,
London Bridge,6.0,2024-05 to 2024-09,,,
Mile End,6.0,2024-05 to 2024-09,,,
Moorgate,6.0,2024-05 to 2024-09,,,
Oxford Circus,8.0,2024-05 to 2024-09,,,
Paddington,6.0,2024-05 to 2024-09,,,
"Piccadilly 
Circus",6.0,2024-05 to 2024-09,,,
Tooting Bec,4.0,2024-05 to 2024-09,,,
"Tottenham 
Court Road",6.0,2024-05 to 2024-09,,,
Vauxhall,4.0,2024-05 to 2024-09,,,
Waterloo,8.0,2024-05 to 2024-09,,,
Westminster,6.0,2024-05 to 2024-09,,,
Aluminium metal / Aluminium oxides,10.0,2024-05 to 2024-09,,,
"Arsenic and arsenic compounds 
except arsine (as As)",0.1,2024-05 to 2024-09,,,
Chromium,0.5,2024-05 to 2024-09,,,
Copper and compounds: dust and mists (as Cu),1.0,2024-05 to 2024-09,,,
"Iron Oxide, fume (as Fe)",5.0,2024-05 to 2024-09,,,
Manganese and its inorganic compounds (as Mn),0.2,2024-05 to 2024-09,,,
"Nickel and its inorganic compounds (except nickel 
tetracarbonyl):nickel and water-insoluble nickel 
compounds (as Ni)",0.5,2024-05 to 2024-09,,,
Outside Station Supervisor office,0.23,2024-05 to 2024-09,,,
"Platform 1 - Westbound, District / 
Hammersmith & City line",0.37,2024-05 to 2024-09,,,
"Platform 2 - Eastbound, District / 
Hammersmith & City line",0.37,2024-05 to 2024-09,,,
Ticket Hall / Gate Line – West,0.27,2024-05 to 2024-09,,,
Outside Station Supervisor office,0.18,2024-05 to 2024-09,,,
"Platform 5 - Eastbound, Circle / 
Hammersmith & City line",0.33,2024-05 to 2024-09,,,
"Platform 6 - Westbound, Circle / 
Hammersmith & City line",0.37,2024-05 to 2024-09,,,
"Platform 7 - Southbound, Jubilee line",0.89,2024-05 to 2024-09,,,
"Platform 8 - Southbound, Bakerloo line",1.2,2024-05 to 2024-09,,,
"Platform 9 - Northbound, Bakerloo line",1.08,2024-05 to 2024-09,,,
"Platform 10 - Northbound, Jubilee line",0.71,2024-05 to 2024-09,,,
"Ticket Hall / Gate Line - Circle / 
Hammersmith & City / Metropolitan line",0.23,2024-05 to 2024-09,,,
"Platform 4 - Northbound, Northern line",0.42,2024-05 to 2024-09,,,
"Platform 5 - Westbound, Central line",0.74,2024-05 to 2024-09,,,
"Platform 9 - Eastbound, DLR",0.75,2024-05 to 2024-09,,,
"Platform 10 - Eastbound, DLR",0.51,2024-05 to 2024-09,,,
Outside Station Supervisor office,0.21,2024-05 to 2024-09,,,
"Platform 1 - Westbound, Jubilee line",0.6,2024-05 to 2024-09,,,
"Platform 2 - Eastbound, Jubilee line",0.39,2024-05 to 2024-09,,,
Ticket Hall / Gate Line,0.2,2024-05 to 2024-09,,,
Outside Station Supervisor office,0.4,2024-05 to 2024-09,,,
"Platform 1 - Northbound, Northern line",0.82,2024-05 to 2024-09,,,
"Platform 2 - Southbound, Northern line",0.95,2024-05 to 2024-09,,,
Ticket Hall / Gate Line,0.29,2024-05 to 2024-09,,,
Outside Station Supervisor office,0.2,2024-05 to 2024-09,,,
"Platform 1 - Southbound, DLR",0.25,2024-05 to 2024-09,,,
"Platform 2 - Northbound, DLR",0.29,2024-05 to 2024-09,,,
Ticket Hall / Gate Line,0.17,2024-05 to 2024-09,,,
Outside Station Supervisor office,0.05,2024-05 to 2024-09,,,
"Platform 1 - Northbound, Northern line",0.61,2024-05 to 2024-09,,,
"Platform 2 - Southbound, Northern line",0.32,2024-05 to 2024-09,,,
"Platform 3 - Northbound, Bakerloo line",0.28,2024-05 to 2024-09,,,
"Platform 4 - Northbound, Bakerloo line",0.44,2024-05 to 2024-09,,,
Ticket Hall / Gate Line - Bakerloo line,0.05,2024-05 to 2024-09,,,
Ticket Hall / Gate Line - Northern line,0.2,2024-05 to 2024-09,,,
Outside Station Supervisor office,0.49,2024-05 to 2024-09,,,
"Platform 3 - Northbound, Northern line",1.33,2024-05 to 2024-09,,,
"Platform 4 - Southbound, Northern line",1.53,2024-05 to 2024-09,,,
"Platform 5 - Northbound, Bakerloo line",1.4,2024-05 to 2024-09,,,
"Platform 6 - Southbound, Bakerloo line",1.16,2024-05 to 2024-09,,,
Ticket Hall / Gate Line,0.5,2024-05 to 2024-09,,,
Outside Station Supervisor office,0.14,2024-05 to 2024-09,,,
"Platform 1 - Westbound, Circle / 
Hammersmith & City / Metropolitan line",0.41,2024-05 to 2024-09,,,
"Platform 2 - Eastbound, Circle / 
Hammersmith & City / Metropolitan line",0.43,2024-05 to 2024-09,,,
Ticket Hall / Gate Line - North side,0.18,2024-05 to 2024-09,,,
Ticket Hall / Gate Line - South side,0.19,2024-05 to 2024-09,,,
"Platform 1 - Northbound, Northern line",0.91,2024-05 to 2024-09,,,
"Platform 2 - Southbound, Northern line",1.14,2024-05 to 2024-09,,,
Ticket Hall / Gate Line,0.04,2024-05 to 2024-09,,,
"Platform 3 - Northbound, Victoria line",0.6,2024-05 to 2024-09,,,
"Platform 5 - Southbound, Victoria line",0.91,2024-05 to 2024-09,,,
Ticket Hall / Gate Line,0.1,2024-05 to 2024-09,,,
Outside Station Supervisor office,0.08,2024-05 to 2024-09,,,
"Platform 1 - Westbound, Central line",0.79,2024-05 to 2024-09,,,
"Platform 2 - Eastbound, Central line",0.97,2024-05 to 2024-09,,,
"Platform 3 - Westbound, Piccadilly line",1.45,2024-05 to 2024-09,,,
"Platform 4 - Eastbound, Piccadilly line",1.15,2024-05 to 2024-09,,,
Ticket Hall / Gate Line,0.12,2024-05 to 2024-09,,,
